Color,Area,Perimeter,Mean Intensity,Eccentricity,Solidity
orange,9.0,8.242640687119284,255.0,0.9362669139597042,0.8181818181818182
orange,9.0,8.621320343559642,255.0,0.7071067811865476,0.6
orange,13.0,12.449747468305832,255.0,0.8052516002882327,0.5652173913043478
orange,1.0,0.0,255.0,0.0,1.0
orange,13.0,10.65685424949238,255.0,0.5940885257860048,0.9285714285714286
orange,2.0,0.0,255.0,1.0,1.0
orange,1.0,0.0,255.0,0.0,1.0
orange,1.0,0.0,255.0,0.0,1.0
orange,2.0,0.0,255.0,1.0,1.0
orange,2.0,0.0,255.0,1.0,1.0
orange,2.0,0.0,255.0,1.0,1.0
orange,1.0,0.0,255.0,0.0,1.0
orange,1.0,0.0,255.0,0.0,1.0
orange,1.0,0.0,255.0,0.0,1.0
orange,3.0,3.414213562373095,255.0,0.816496580927726,1.0
orange,9.0,7.621320343559642,255.0,0.786283935618104,0.9
orange,1.0,0.0,255.0,0.0,1.0
orange,5.0,4.0,255.0,0.8846517369293827,0.7142857142857143
orange,10.0,8.82842712474619,255.0,0.6831300510639732,1.0
orange,17.0,14.65685424949238,255.0,0.8935067474534351,0.85
orange,1.0,0.0,255.0,0.0,1.0
orange,15.0,12.82842712474619,255.0,0.86818130256856,1.0
orange,3.0,1.0,255.0,1.0,1.0
orange,1.0,0.0,255.0,0.0,1.0
orange,2.0,0.0,255.0,1.0,1.0
orange,12.0,10.242640687119284,255.0,0.6972166887783964,0.8571428571428571
orange,1.0,0.0,255.0,0.0,1.0
orange,19.0,15.313708498984761,255.0,0.8035172037898899,0.9047619047619048
orange,1.0,0.0,255.0,0.0,1.0
orange,1.0,0.0,255.0,0.0,1.0
orange,1.0,0.0,255.0,0.0,1.0
orange,4.0,4.0,255.0,0.0,1.0
orange,1.0,0.0,255.0,0.0,1.0
orange,1.0,0.0,255.0,0.0,1.0
orange,1.0,0.0,255.0,0.0,1.0
orange,5.0,5.207106781186548,255.0,0.816496580927726,1.0
orange,1.0,0.0,255.0,0.0,1.0
orange,1.0,0.0,255.0,0.0,1.0
orange,1.0,0.0,255.0,0.0,1.0
orange,3.0,1.0,255.0,1.0,1.0
orange,22.0,16.65685424949238,255.0,0.6701532903075169,0.8461538461538461
orange,1.0,0.0,255.0,0.0,1.0
orange,7.0,7.207106781186548,255.0,0.8886656215775005,1.0
orange,6.0,6.621320343559642,255.0,0.8997354108424372,0.8571428571428571
orange,1.0,0.0,255.0,0.0,1.0
orange,1.0,0.0,255.0,0.0,1.0
orange,1.0,0.0,255.0,0.0,1.0
orange,2.0,0.0,255.0,1.0,1.0
orange,9.0,7.621320343559642,255.0,0.8606629658238704,0.9
orange,3.0,3.414213562373095,255.0,0.816496580927726,1.0
orange,1.0,0.0,255.0,0.0,1.0
orange,1.0,0.0,255.0,0.0,1.0
orange,3.0,3.414213562373095,255.0,0.816496580927726,1.0
orange,1.0,0.0,255.0,0.0,1.0
orange,2.0,0.0,255.0,1.0,1.0
orange,3.0,3.414213562373095,255.0,0.816496580927726,1.0
orange,3.0,3.414213562373095,255.0,0.816496580927726,1.0
orange,2.0,0.0,255.0,1.0,1.0
orange,2.0,0.0,255.0,1.0,1.0
orange,13.0,10.82842712474619,255.0,0.836165849461683,1.0
orange,1.0,0.0,255.0,0.0,1.0
orange,1.0,0.0,255.0,0.0,1.0
orange,1.0,0.0,255.0,0.0,1.0
orange,4.0,2.8284271247461903,255.0,0.9241763718304448,0.6666666666666666
orange,1.0,0.0,255.0,0.0,1.0
orange,1.0,0.0,255.0,0.0,1.0
orange,2.0,0.0,255.0,1.0,1.0
orange,1.0,0.0,255.0,0.0,1.0
orange,1.0,0.0,255.0,0.0,1.0
orange,1.0,0.0,255.0,0.0,1.0
orange,3.0,1.0,255.0,1.0,1.0
orange,2.0,0.0,255.0,1.0,1.0
orange,5.0,5.207106781186548,255.0,0.816496580927726,1.0
orange,1.0,0.0,255.0,0.0,1.0
orange,1.0,0.0,255.0,0.0,1.0
orange,4.0,4.0,255.0,0.0,1.0
orange,2.0,0.0,255.0,1.0,1.0
orange,1.0,0.0,255.0,0.0,1.0
